Date,Open,Max,Min,Close,Volume
2016-08-25,1.5,1.5,1.48,1.5,3626
2016-08-26,1.5,1.5,1.5,1.5,3784
2016-08-29,1.5,1.52,1.49,1.51,1758
2016-08-30,1.46,1.54,1.43,1.54,50096
2016-08-31,1.54,1.58,1.53,1.58,37073
2016-09-01,1.58,1.64,1.56,1.64,45300
2016-09-02,1.68,1.77,1.68,1.74,73857
2016-09-05,1.74,1.85,1.7,1.82,55625
2016-09-06,1.84,1.85,1.82,1.83,12196
2016-09-07,1.83,1.84,1.71,1.79,77643
2016-09-08,1.73,1.76,1.71,1.74,13357
2016-09-09,1.7,1.76,1.62,1.76,23247
2016-09-12,1.74,1.79,1.69,1.75,6685
2016-09-13,1.78,1.78,1.66,1.74,17981
2016-09-14,1.74,1.74,1.65,1.7,8417
2016-09-15,1.7,1.7,1.63,1.67,3023
2016-09-16,1.67,1.68,1.62,1.68,3781
2016-09-19,1.68,1.68,1.61,1.65,1861
2016-09-20,1.65,1.65,1.63,1.64,2694
2016-09-21,1.64,1.64,1.64,1.64,2
2016-09-22,1.64,1.64,1.58,1.61,4019
2016-09-23,1.63,1.63,1.55,1.62,8841
